Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Calling My Spirit,Kodak Black,11/30/2018,USAT21812416,1799,34.3,298721490,69136,7558306,59,162438129,1112123,1012306,13981094,18,1745,684516,1
Everybody Dies In Their Nightmares,XXXTENTACION,8/25/2017,USUYG1156894,1812,34.2,1590659204,203764,34418293,77,567076854,7875127,76923633,616913553,26,29,2444041,1
Maria Mariah,JC NO BEAT,11/17/2023,BCLWS2302458,1811,34.2,33605864,12453,3161785,32,107114515,805527,1970109,25541775,4,342,160253,1
Shaitan Ka Saala From Housefull 4,Sohail Sen,10/7/2019,INS181905023,1805,34.2,35269135,3782,1470547,44,1364545600,4782629,1462995,19469573,4,241,167685,0
Me Niego,Reik,2/16/2018,MXF011800071,1814,34.2,708166969,58098,19508090,66,1209951349,4611513,36505321,263244094,64,13342,4094040,0
Neon Blade,MoonDeity,6/1/2022,SE6QE2237231,1821,34.1,256121980,60620,23882871,68,223554131,2671018,139402074,1479505358,16,1,2490025,1
Ho Hey,The Lumineers,1/1/2012,USDMG1260805,1818,34.1,1273869800,214511,64606098,76,370952126,2847630,25451026,172101115,148,242121,17971225,0
Frozen,Madonna,12/3/2021,USWB12105753,1817,34.1,171060866,62420,13385720,62,39445207,832416,58132303,954943543,17,12696,6425997,0
Mahiye Jinna Sohna,Darshan Raval,6/22/2023,INW262317735,1823,34.1,208410725,14238,8924766,66,117750348,1330374,14803092,327071314,3,597,242339,0
Pain,PinkPantheress,2/5/2021,QZFZ52145391,1819,34.1,595213841,124555,17910647,77,47759635,771300,115511396,640679729,33,1073,719198,1
Arms Around You,XXXTENTACION,10/25/2018,USWB11802264,1815,34.1,587673746,88533,17023029,65,490164687,7575841,2994730,15353974,34,30031,3904200,1
Titliaan,Afsana Khan,11/9/2020,INUM72000090,1820,34.1,60103893,7617,1238881,54,996649537,9168790,1406442,44461309,4,310,230094,0
Padam Padam,Kylie Minogue,5/18/2023,GB5KW2301017,1826,34.0,142783595,27586,18160338,43,39579610,426906,16387200,266934347,117,97932,1166124,0
Finesse,Pheelz,3/3/2022,QZQAY2239272,1830,34.0,162356099,67124,8539093,62,27222424,253527,95230456,1145039714,77,70941,4200295,0
Bad Blood,Taylor Swift,1/1/2014,USCJY1431369,1834,34.0,602316735,64462,20443761,67,1643019828,10410620,142146594,998836191,91,12331,3046517,0
Crazy What Love Can Do,David Guetta,3/18/2022,UKWLG2200001,1825,34.0,371288040,69527,53951706,69,42623147,297084,1282246,19793657,111,205826,2246791,0
Man Made A Bar,Morgan Wallen,3/3/2023,USUG12300804,1824,34.0,175095439,21001,6637673,75,61848993,311636,3106312,21618436,25,109675,268281,0
Volv,Aventura,8/3/2021,QMFME2168127,1833,34.0,780755736,107320,35444438,72,89683527,493296,6103064,49294071,97,39183,1804089,1
Bijlee Bijlee,Harrdy Sandhu,10/30/2021,INUM72100076,1832,34.0,185690034,20169,4249749,62,653915314,6109560,3745325,52219515,13,1527,326010,0
Super,SEVENTEEN,4/24/2023,USA2P2310675,1839,33.9,210481840,14690,8191208,67,209677493,2906443,178551449,1027127321,29,3674,491972,0
Diamonds,Sam Smith,9/17/2020,GBUM72002531,1835,33.9,411109963,53928,10287976,58,205575225,1908534,23431333,254269639,133,403730,5268930,0
Do I Wanna Know,Arctic Monkeys,1/1/2013,GBCEL1300362,1837,33.9,2188592950,361827,91030520,81,457550865,4610448,12237124,71629637,149,2204,10708249,0
Djadja,Aya Nakamura,4/6/2018,FRZ041800369,1849,33.8,449300755,100823,11604346,65,1085070267,6471346,11755003,125615755,124,23057,8075024,0
Look Dont Touch Feat Cade,Odetari,5/17/2023,QZVFR2301356,1848,33.8,184630078,29450,3853996,69,63500291,813255,15513962,102841979,2,4,683699,1
Body Remix Feat Arrdee E1 3X3 Zt 3X3 Bugzy Malone Buni Fivio Foreign Darkoo,Tion Wayne,4/22/2021,GBAHS2100229,1845,33.8,329901408,127068,10900641,59,139803282,2011079,666189916,5034712644,56,5281,1625019,1
Timber,Pitbull,1/1/2009,USRC11301695,1850,33.8,1477150302,241550,126126362,79,1751763286,7958745,145705571,1166623514,166,98296,13339874,0
Love You Better,Future,4/29/2022,USSM12203790,1843,33.8,128787729,37150,4216777,63,56487397,578887,4458009,39913325,12,260687,903005,1
Woah,Lil Baby,11/8/2019,USUG11902877,1851,33.8,420627588,104460,14977024,60,448194116,3160800,26617282,225572938,76,80703,1977941,1
As If Its Your Last,BLACKPINK,6/22/2017,KRA401700174,1858,33.7,594775179,39525,11903640,70,1658892938,17870955,85311100,716217499,28,3547,1387663,0
679,Fetty Wap,6/29/2015,QMCE31500250,1863,33.7,808010338,130977,25603956,71,690889020,4272301,52308653,243314330,1,44246,4663057,1
De Lunes A Lunes,Manuel Turizo,8/24/2023,QZDYA1800274,1856,33.7,178247858,12797,13650757,73,104715392,352213,2454985,26823518,17,15249,415549,0
Whistle,Jax Jones,2/10/2023,GBUM72202305,1859,33.7,150399875,24147,33879427,68,31790864,197887,2341316,59124615,58,179831,1848814,0
Before You Leave Me,Alex Warren,2/16/2024,USAT22314248,1854,33.7,99946842,9128,36536793,78,4417747,54887,309855,2306041,21,10826,310024,0
Xo Tour Llif3,Lil Uzi Vert,8/25/2017,USAT21703440,1855,33.7,2123458039,250221,69341164,77,333716726,2350373,39843516,293246122,6,185,28504,1
Break Up With Your Girlfriend Im Bored,Ariana Grande,2/8/2019,USUM71900409,1857,33.7,975281654,82431,31929703,69,672090558,7230344,29856824,218317192,74,52163,2386682,1
La Noia,Angelina Mango,2/7/2024,ITJG42400001,1853,33.7,81694468,4777,7822812,80,47424040,377348,173700,4000000,28,14334,262811,0
Nothing Breaks Like A Heart,Mark Ronson,11/30/2018,GBARL1801571,1852,33.7,942092206,129847,59476416,68,561103775,5753715,154388347,1462282216,106,19349,11510830,0
Tus Lgr,Mora,4/1/2022,QM4TX2252947,1862,33.7,231258162,42133,12601998,64,143774447,773465,79825538,760223916,27,5833,616275,1
Pump,Valentino Khan,5/26/2017,USZ4V1700087,1873,33.6,67890975,26030,3848842,42,3506898,39237,197043302,3438499599,38,859,1775117,0
Higher Love,Kygo,6/28/2019,USRC11901901,1875,33.6,943137389,117582,79382957,67,315848540,1595053,9354620,94552478,302,243385,5337579,0
Worth Nothing Fast Furious Drift Tapephonk Vol 1,TWISTED,9/28/2022,QZNWZ2297541,1868,33.6,299202591,67616,26749482,67,36393651,720855,408682791,5978876777,21,796,2693410,1
Love Lies With Normani,Khalid,2/14/2018,USRC11703646,1865,33.6,937339123,96612,21547967,67,479514227,3606789,8019207,56608149,82,177635,5381698,1
El T,Grupo Firme,10/27/2020,QZDQH1906375,1877,33.6,432634168,31429,17749866,59,699174305,2537896,12531029,168805311,16,5054,1109128,0
Jealousy Jealousy,Olivia Rodrigo,5/21/2021,USUG12101248,1878,33.6,884616492,101479,24049783,77,211384847,2822121,92641326,464412661,32,1529,1187607,0
Shaky Shaky,Daddy Yankee,4/8/2016,US2BU1600020,1872,33.6,355833360,32831,9930933,57,1841152614,6950519,68853618,580818135,32,9113,2606582,0
El Amante,Nicky Jam,1/1/2017,USSD11600415,1870,33.6,583299836,52696,14027229,64,1463687327,4556113,7981083,107045562,52,15341,5312033,0
Icu,Coco Jones,10/21/2022,USUM72216687,1881,33.5,52106559,13612,2835147,61,70625059,637218,9243349,81185287,30,173142,1514755,0
Pillowtalk,ZAYN,3/25/2016,USRC11600042,1883,33.5,1320205697,124827,38410821,71,1389678876,10725384,26228617,191249307,155,43881,7226364,1
When It Comes To You,Fridayy,7/21/2023,USUM72309787,1884,33.4,36398813,7606,12388422,62,51105810,440385,3116540,30427598,17,65182,1019440,0
Libaas,Kaka,11/19/2020,INS402000018,1889,33.4,76630812,8933,1073356,51,964253382,9620300,7327817,99450429,4,20,264288,0
Ooouuu,Young M.A,5/20/2016,US6YF1600026,1888,33.4,316267018,68407,10932431,60,515355994,3980712,35643009,286622729,165,7714,2698587,1
X Si Volvemos,KAROL G,2/3/2023,USUM72222547,1887,33.4,491242756,37814,18470152,75,80668854,1002368,4293404,77308719,57,23639,734819,1
Give Me Everything,Pitbull,1/1/2009,USJAY1100032,1898,33.3,1164166623,262779,103712117,81,1332702041,6176607,20425129,225165270,120,348,16112049,0
Iko Iko My Bestie,Justin Wellington,6/3/2019,QZFYX1950028,1901,33.3,314672402,85038,16060938,64,203831150,1327160,336713853,3345046787,72,212908,8651171,0
Low Life,Future,2/12/2016,USSM11600557,1897,33.3,884825594,165579,32192169,72,838504706,3635933,3965043,39734161,74,7064,4453169,1
Oi Erro Ao Vivo,Simone Mendes,3/24/2023,BRUM72202351,1899,33.3,23883628,1390,2563092,51,341471782,1328954,450726,5358634,3,173,7075,0
Been Like This,Meghan Trainor,3/14/2024,USSM12401540,1903,33.2,44441672,3110,21182930,24,6534998,164262,7764642,95682600,33,38516,190730,0
Light It Up Remix,Major Lazer,5/29/2015,QMUY41500182,1907,33.2,1293191157,147868,30229579,72,606547382,4505365,1739806,19401692,209,54267,10975728,0
Un Coco,Bad Bunny,5/6/2022,QM6MZ2214892,1904,33.2,534736940,54870,16605882,73,243635144,1460980,53470902,327984369,11,1066,751985,0
Tutu,Camilo,8/9/2019,USSD11900263,1908,33.2,594224324,50354,18628100,61,903046839,6893168,11745148,140587874,89,13563,1100391,0
Tadow,Masego,10/6/2017,QM24S1703810,1911,33.2,475786302,169485,31599668,72,587498816,5883117,267389439,1965697775,62,3354,6595975,0
Ya Acabo,Marca MP,2/19/2021,QZFZ62111678,1916,33.1,340744110,34114,13462017,65,616701633,3072699,24444067,229127001,8,3944,1239032,0
Love You So,The King Khan & BBQ Show,1/1/2005,USA3D0700101,1918,33.1,16326628,12434,3542140,44,7603329,122780,18422696340,214843956590,9,215,632600,0
Dogtooth,"Tyler, The Creator",3/27/2023,USQX92301932,1914,33.1,141377619,54114,7207419,66,20493982,566751,802527,4036849,23,49738,387490,1
All Too Well 10 Minute Version Taylors Version From The Vault,Taylor Swift,11/12/2021,USUG12103690,1912,33.1,842558786,55074,40675939,74,290178261,6813320,110877621,743331968,86,1865,827246,1
Did It Again,Lil Tecca,7/24/2019,USUG11902664,1923,33.0,440181206,87099,9847312,69,109575448,1082713,795005,7112170,15,148,391268,1
Firestone,Kygo,2/9/2015,SEBGA1400887,1928,33.0,1106264600,144992,42832108,71,1040406066,4527957,5987576,44057930,205,42861,17246943,0
Gossip,Mï¿½ï¿½ne,1/13/2023,ITB002200841,1925,33.0,239288183,42084,9541843,71,56033826,823483,20568859,206096023,34,38434,1704066,1
,ANNA ASTI,7/14/2023,RUA1D2370675,1922,33.0,17080355,5909,554886,53,203425864,773896,2959139,33547289,17,1220,1065042,0
Dangerous Woman,Ariana Grande,3/11/2016,USUM71601826,1934,32.9,1120622892,104167,39070160,74,1005463648,10636477,67641088,533969522,90,25667,4234563,0
On,BTS,2/21/2020,QM4TX2001949,1939,32.9,452491920,26714,19212443,64,945639729,27589023,65951308,359662248,20,9325,1247966,0
Problem,Ariana Grande,1/1/2014,USUM71405403,1930,32.9,863631428,84796,36693869,70,1514451986,7876147,14796760,108204850,113,48871,8231077,0
Supermodel,Mï¿½ï¿½ne,5/13/2022,ITB002200385,1936,32.9,308183607,57988,30736731,64,29232672,460660,31480770,401636873,70,175801,2354432,0
Dont Call Me Up,Mabel,1/18/2019,GBUM71808052,1935,32.9,1016283394,103794,41086368,68,460509010,3376276,3774501,45585575,192,198355,9406511,0
Bodak Yellow,Cardi B,6/16/2017,USAT21701762,1932,32.9,894360950,99270,29301256,66,73078701,913440,42674347,324949762,247,65706,6520985,1
Latch,Disclosure,1/1/2013,GBUM71302810,1933,32.9,1017438306,174201,45341736,71,569083040,3417150,80786067,568058521,219,25714,15182802,0
Mourning,Post Malone,5/19/2023,USUM72306015,1938,32.9,160305133,35523,3552008,62,51153469,760977,3026171,44574455,54,10192,437969,1
How Do You Sleep,Sam Smith,7/19/2019,GBUM71902381,1931,32.9,972593978,84347,25942681,62,489662988,4540879,5267198,36540464,130,125065,5795814,0
Asylum,Olivetheboy,3/1/2024,USQX92400566,1940,32.8,4792243,518,3436044,64,3218219,32702,5937072,67702628,16,79,480872,0
Ceilings,Lizzy McAlpine,4/8/2022,GBKPL2280163,1944,32.8,540382129,67808,85710040,76,33922247,572580,330884076,2631370364,76,24819,1224138,0
Love On The Brain,Rihanna,1/28/2016,QM5FT1600120,1943,32.8,1480311407,162952,72991098,78,1013766482,4126099,755438,2054878,134,65711,12739673,1
Broccoli,DRAM,4/6/2016,USUYG1098775,1947,32.7,849055927,131131,22922803,58,464235914,3109287,41047197,214959368,132,1110,4186604,1
Stay With Alessia Cara,Zedd,2/23/2017,USUM71700736,1949,32.6,1224136357,115858,34379868,70,545665182,3985831,21865997,137040499,198,114985,8721927,0
Yung Bratz,XXXTENTACION,5/16/2017,USUYG1142051,1950,32.6,442472374,85567,16713395,68,99029913,1622141,58969522,437018233,7,9,1002168,1
Black And Yellow,Wiz Khalifa,9/14/2010,USAT21001800,1960,32.6,636986949,141343,32621464,69,1110450147,6467597,347404,5188475,62,2912,2807300,1
Sahara,Hensonn,11/16/2021,QMDA72134986,1953,32.6,274961162,80300,27332775,67,196021271,2844570,381369913,4719697686,18,707,2819281,1
The Search,NF,5/30/2019,USUM71907048,1951,32.6,582823215,115214,15719606,69,362990075,5824758,44853064,394839659,11,79,3986033,0
Wiggy,Young Miko,7/21/2023,QZXD92300012,1962,32.5,135841710,22636,7652807,61,53263040,755107,106714247,1221296456,12,10927,404918,1
Nxde,(G)I-DLE,10/17/2022,KRA392200038,1969,32.5,242708368,24028,7729486,66,306925934,3817854,4217193,28580589,12,3655,452824,0
Vaina Loca,Ozuna,6/28/2018,USXDR1800901,1963,32.5,818413674,68379,22527293,68,1084871772,3856569,6087146,66017796,38,14367,1916459,0
Street Runner,Rod Wave,3/10/2021,USLD91730830,1961,32.5,163921357,36519,4018180,64,296510850,1746888,13288490,64791187,22,3894,806043,1
Pure Water With Migos,Mustard,1/16/2019,USUM71823137,1971,32.5,726877512,145514,22684851,66,383840816,2770217,15400639,126460343,69,1339,3804674,1
Ay Vamos,J Balvin,3/3/2014,MXUM71400922,1966,32.5,385438228,51062,16368668,68,2103164374,6262143,6897061,55635484,54,10723,4433372,0
We Found Love,Rihanna,1/1/2011,USUM71115507,1965,32.5,1655539775,219739,111528796,79,1438850843,6775048,141145,831485,318,192995,12779481,0
Shut Up My Moms Calling,Hotel Ugly,2/10/2020,TCAEQ2083509,1983,32.4,864865822,155446,25122611,82,119059085,1543311,189326209,1722108635,3,1966,1727338,0
Hell N Back,Bakar,8/14/2019,GBARL1900848,1975,32.4,512194074,180810,58052469,71,31571952,420306,182982444,1524936587,63,103595,2988493,1
Stand By Me,Lil Durk,5/26/2023,USQX92303185,1978,32.4,132870060,27561,8424250,69,27715495,361926,4608976,62570724,36,7685,393651,1
Yaad Piya Ki Aane Lagi,Neha Kakkar,11/16/2019,INS181905489,1976,32.4,86910140,8749,2989865,56,626799451,4573766,44359897,569000341,5,624,202049,0
Aok,Tai Verdes,5/6/2021,USQX92101406,1982,32.4,389915082,101681,12962599,66,12456282,162382,412779417,3623326028,57,67375,1518022,1
Shotgun,George Ezra,3/23/2018,GBARL1701372,1980,32.4,930662973,130768,32965801,71,473069489,2566614,11966552,114370699,142,141179,7331922,0
Kiss Me,Dermot Kennedy,9/2/2022,USUG12201963,1973,32.4,149237160,22036,6228907,65,60539963,307422,3087705,52556917,39,262744,2868389,0
Goosebumps,HVME,6/12/2020,TCAEW2040509,1999,32.3,495274429,128838,28968321,63,78671735,609580,23269837,354473655,120,80857,2916022,1
Rolex,Ayo & Teo,3/15/2017,USSM11702948,1996,32.3,491634627,75806,13437276,62,188680059,1804608,78533802,541006747,44,1858,4960587,0
Whiskey On You,Nate Smith,5/6/2022,USRN12200053,1985,32.3,193854805,33972,7580172,68,24154881,173205,3681829,35905755,25,238344,466888,0
Nostl,Rvssian,9/8/2021,USSD12100318,1992,32.3,503972431,90920,21683459,68,169044079,1342959,63965739,544513130,77,25766,2021548,1
No,Meghan Trainor,3/4/2016,USSM11600935,1988,32.3,614050155,70723,23190101,69,787010459,6661292,326320402,3071891173,78,3488,8410179,0
Hp,Maluma,3/1/2019,USSD11900034,1997,32.3,614313540,55782,18750996,64,978997170,4042367,6033109,48469382,59,10446,1887065,1
Un Ratito,Bad Bunny,5/6/2022,QM6MZ2214879,1990,32.3,500671737,57541,10245525,70,204437602,1398859,8267001,66367676,12,2271,796992,0
One More Night,Maroon 5,1/1/2012,USUM71203514,1989,32.3,885944426,129982,34799834,73,1106757714,4773915,65111526,469737119,45,102020,10178659,0
Desconocidos,Mau y Ricky,10/12/2018,USSD11800344,2006,32.2,757001327,53221,16642929,65,1178040262,4145589,5064052,41170418,54,9445,1295202,1
After Party,Don Toliver,3/13/2020,USAT22001223,2005,32.2,706711575,170468,34103511,69,133159545,1623904,144853884,1092802231,70,17736,1400011,1
We Cant Stop,Miley Cyrus,1/1/2013,USRC11300686,2003,32.2,970858824,117008,50397971,71,1310779877,7274419,43040615,343153571,140,18341,6946040,0
Buy Dirt,Jordan Davis,5/21/2021,USUM72104058,2007,32.2,457254811,51641,18836339,77,26485095,208483,32037602,280557815,34,207859,958724,0
Las Morras,Peso Pluma,4/4/2023,QM4TX2378801,2004,32.2,253711656,26015,6838351,66,148812952,859486,6180710,79415641,17,547,366772,1
Mamichula Con Nicki Nicole,Trueno,7/23/2020,ARRWN2000010,2013,32.1,515582705,65906,17187107,76,606811318,5460826,49875266,348605056,51,4044,634470,0
Higher Power,Coldplay,5/7/2021,GBAYE2100379,2016,32.1,349603788,52095,26147738,63,137534459,1529839,33048101,343629235,151,340644,2591262,0
The Perfect Girl,Mareux,10/13/2019,QZF8N1986577,2018,32.1,402007889,119524,26655185,72,275482156,4928693,257157857,2141282045,8,142,2706263,0
Yeah,USHER,1/1/2004,USAR10301423,2020,32.1,1307469137,255327,107143110,80,1200224642,8294174,131333791,1599320816,289,261191,15485233,0
Prohibidox,Feid,9/14/2022,USUM72217627,2012,32.1,289624210,36819,10542649,70,201168669,890146,29953518,298398790,27,10939,465619,0
Montagem Mysterious Game,LXNGVX,11/17/2023,QZTBF2315869,2021,32.1,139208438,13863,30279318,77,13279195,355386,50901731,599656685,4,2,1167271,0
You Say,Lauren Daigle,7/13/2018,US8391800158,2033,32.0,542480898,81834,23568889,68,435065136,3809205,53371812,401544074,96,125323,10103507,0
Watch The World Burn,Falling In Reverse,1/31/2023,USEP42231004,2029,32.0,137204273,42638,4064739,69,105245546,1284515,9349182,77626486,9,17229,633695,1
Hukum Thalaivar Alappara From Jailer,Anirudh Ravichander,7/17/2023,QMBZ92351475,2030,32.0,143053873,6149,3893159,61,199585965,1829386,175500,2909357,5,12,168682,0
With You,AP Dhillon,8/11/2023,QMDA62306899,2025,32.0,159980783,17289,9007969,68,118381181,1270496,1386029,21262061,17,974,215166,0
I Love It Lil Pump,Kanye West,9/6/2018,USUM71814031,2035,32.0,703089599,126449,21054860,65,761321778,9012438,19087053,154119835,52,9276,2965820,1
Love Songs Bonus,Kaash Paige,11/19/2018,QZES71881447,2031,32.0,478086665,80058,16908119,73,121801747,1355380,150283142,1196836319,29,1491,2435456,0
Me Atraiu Ao Vivo,Gabriela Rocha,2/1/2023,BR4WM2300002,2027,32.0,103132095,16094,9626456,63,224457485,1342976,22029271,285847760,6,52,118786,0
I Love You Hoe W 9Lives,Odetari,7/12/2023,QZVFR2301453,2028,32.0,160320384,29292,5268261,64,27712131,449186,182400,2200000,1,4,394365,1
Happy,NF,4/7/2023,USUM72300449,2032,32.0,127558523,29689,7546223,68,56328016,701370,2737285,37060287,20,52475,668230,0
Boombayah,BLACKPINK,8/8/2016,KRA401600169,2024,32.0,534374502,43033,11871864,68,1785015062,18123231,50310774,368912538,14,3471,1251070,0
Min Awel Dekika,Elissa,5/4/2022,LBA132200641,2040,31.9,24195796,7751,520105,52,513974720,3902623,1654100,40801186,4,1416,968681,0
Cmo Dormi,Rels B,8/4/2022,UYB282276000,2038,31.9,516560181,60949,15706900,74,110114094,814675,53071916,544497354,17,7220,340443,1
My Exs Best Friend With Blackbear,mgk,8/7/2020,USUM72014730,2042,31.9,682383223,115706,17572847,68,183898967,1760357,713454,8328967,80,4674,2439849,1
Parce,Maluma,8/20/2020,USSD12000217,2046,31.9,423582537,58315,14632113,61,491738603,2883634,73369804,642003320,64,7892,965918,0
Cul Es Su Nombre,Lucky Brown,9/14/2023,CLA1D2300086,2041,31.9,83521812,10789,6141307,66,127280465,489928,7796172,52933390,1,126,97655,1
Borro Cassette,Maluma,6/29/2015,USSD11500124,2045,31.9,761287318,58967,27208424,76,1659052720,4919965,36363434,150155845,66,6704,2419505,0
Wild Thoughts,DJ Khaled,6/16/2017,USSM11705088,2043,31.9,1164638213,145513,45841172,74,27823167,239547,17079390,86703560,281,158938,11992440,1
Where Are Now With Justin Bie,Jack ï¿,2/24/2015,USAT21500555,2036,31.9,1100392417,117948,37006559,69,1343498789,7017961,781713,1292397,11,43071,25076,0
Tkn,ROSALï¿½,5/28/2020,USSM12001261,2047,31.9,447192467,93245,19111650,61,304553514,4676461,229389091,1990567953,141,29258,2921983,0
Est Da,Ivan Cornejo,8/20/2021,QZMFV2000188,2037,31.9,263986575,37945,5228085,67,138793735,1535505,208958147,1575405115,21,15,1413328,0
In Your Eyes,The Weeknd,3/20/2020,USUG12000657,2054,31.8,940914292,130934,30398290,70,166787290,2132781,53359943,600906044,115,748,6236168,1
Take Her Home,Kenny Chesney,11/10/2023,USWB12306453,2048,31.8,10292715,1666,3832651,9,2441458,29255,50322,725724,13,125960,139624,0
Dont Wanna Know,Maroon 5,10/11/2016,USUM71609975,2055,31.8,946757383,87426,23437480,64,936997565,5406952,18590789,49143641,93,5920,9035879,0
Entra Na Defender,Luan Pereira,3/21/2024,BRRGE2400093,2064,31.8,68372540,2469,32369315,77,41802961,232946,50978,486300,11,3,21095,0
Falling,Harry Styles,12/13/2019,USSM11912590,2050,31.8,1225776509,135760,95644468,75,308365869,5355909,26565378,188148281,114,32921,1958247,0
Maps,Maroon 5,1/1/2014,USUM71407116,2052,31.8,1676528402,191597,65483960,79,942734894,4766947,23807742,152847615,62,14258,157957,0
Were Good,Dua Lipa,2/11/2021,GBAHT2001117,2049,31.8,515693079,56753,16981156,62,139617172,1511209,24650112,200621230,106,265354,2909613,0
Sip Alcohol,Joeboy,9/24/2021,QZS7J2197906,2063,31.8,115647691,51136,5269627,58,215744090,1282316,21567173,388440929,48,7052,4087365,0
Get You,Daniel Caesar,10/21/2016,TCACR1690004,2056,31.8,1024198691,168424,41883756,76,251585070,1895986,14835570,101238385,172,15813,4056356,0
Body,Loud Luxury,10/27/2017,NLF711710457,2059,31.8,1187784950,148513,50006803,74,295487246,1776887,11588300,130962355,173,119849,9782303,0
One Thing At A Time,Morgan Wallen,12/2/2022,USUG12209213,2057,31.8,249576970,31843,5546389,70,39198931,239096,2953745,37058831,20,101754,410037,0
911,Sech,2/5/2021,QM9WM2000134,2058,31.8,352258962,68202,13733700,55,415445675,2300245,59055794,425874947,43,26965,943449,1
You Make It Easy,Jason Aldean,1/26/2018,QMRSZ1703136,2066,31.8,461456306,39872,6195765,5,149557856,1484925,4676244,48036714,5,65951,1717815,0
Suge,DaBaby,3/1/2019,USUM71902966,2053,31.8,647501734,112493,19804967,62,447330965,3838459,60994964,435082308,90,2734,2919131,1
Money,Cardi B,10/23/2018,USAT21811495,2070,31.7,580625472,62829,21001481,65,551699941,5832935,242352463,1855716339,73,29962,24631,1
Queen Of Kings,Alessandra,1/8/2023,NOW7B2301090,2069,31.7,162396159,44113,11475897,66,120017704,1180096,20374918,276521416,24,18103,670703,0
Hasta Que Dios Diga,Anuel AA,5/29/2020,QM4TX2084345,2071,31.7,657768560,87832,40590466,71,485818371,2230333,4821532,48119818,93,4268,1043955,1
Hackearamme,Marï¿½ï¿½lia Mendo,3/16/2023,BRWNV2300007,2073,31.7,43921455,1924,4623719,44,329678889,1854891,633597,6144992,8,26,9589,0
No Type,Rae Sremmurd,9/16/2014,USUM71413477,2072,31.7,584277301,124262,20748688,64,902705161,5564747,67770069,510652592,64,18018,4334574,1
,YOASOBI,12/15/2019,JPP301900716,2085,31.6,588095934,82659,7746455,67,690674947,5232424,80235443,613017696,59,2186,1740273,0
Sand In My Boots,Morgan Wallen,1/8/2021,USUG12004193,2078,31.6,379462137,52985,7003255,72,144996999,759185,17034027,137402135,23,192139,886799,0
A Cara Do Crime Ns Incom,Mc Poze do Rodo,5/27/2021,BCM9A2100020,2076,31.6,167885356,35425,5269761,59,623156045,4494258,2554504,35359820,14,4,288490,1
Overseas,D-Block Europe,11/18/2021,GB2DY2100828,2086,31.6,216354398,90545,5425432,64,92356896,647095,13161166,148927892,14,5281,1065136,1
Monster Shawn Mendes Amp Justin Bieber,Shawn Mendes,11/20/2020,USUM72018810,2075,31.6,606018960,77941,24028281,61,249997553,4474871,24539124,177089056,129,155635,2455342,0
Last Friday Night Tgif,Katy Perry,1/1/2010,USCA21001264,2084,31.6,1144535829,170779,83827327,71,1604084148,8081370,58785473,592235618,85,120606,4134026,0
Circo Loco,Drake,11/4/2022,USUG12208606,2077,31.6,201467069,74719,15970383,65,20937003,225873,12829866,119899800,25,1,765958,1
Cann Sa,Semicenk,4/21/2023,FRX282385759,2082,31.6,141252425,15291,5154828,69,194066158,587390,722246,23818069,11,7224,523400,0
Limbo,Freddie Dredd,8/11/2022,USRC12201645,2080,31.6,290154153,78735,11859340,68,23082946,421187,107112714,914597307,8,1155,2165418,1
Duele El Corazon,Enrique Iglesias,1/1/2016,USRC11600642,2100,31.5,654612558,69811,19744540,63,1571210815,5796659,4778610,57898629,81,1510,9176132,0
The Code,Nemo,2/29/2024,DEUM72401182,2091,31.5,52925522,4755,12993786,79,35640835,468153,456500,7397500,37,5288,178195,0
Jlale,Bb trickz,5/2/2024,ES5022400953,2102,31.5,23649304,1089,13373487,73,18261218,229451,221800,1395100,5,3,114774,0
A Puro Dolor,Gabito Ballesteros,12/2/2023,USA2P2355925,2098,31.5,145332157,8065,19954898,80,79026835,407599,115698,670588,8,701,233530,0
Prisoner,Miley Cyrus,11/20/2020,USRC12003364,2101,31.5,795449825,89489,26707311,67,156172635,2182645,27673273,248223677,199,204128,2311374,0
Why Not,Ghostface Playa,4/1/2022,QM4TX2235296,2099,31.5,187925725,56849,20452829,64,132788074,1959343,73834050,790515512,12,6,1400731,1
Got It On Me,Pop Smoke,7/3/2020,USUM72013361,2096,31.5,501468322,167938,19174702,67,145512290,2125906,21468930,199737055,8,2184,855218,1
All I Want For Christmas Is You,Mariah Carey,1/1/1994,USSM19400325,2097,31.5,1810649765,109411,45003974,60,824500156,7455155,1432227925,15963128797,418,131873,6531412,0
La Rompe Corazones,Daddy Yankee,1/13/2017,US2BU1603070,2093,31.5,526264393,48041,19056854,66,1423626083,4711667,4422112,34073736,38,7362,1741563,0
Que Me Falte Todo,Luck Ra,10/26/2023,CLPP22300109,2089,31.5,83544478,7535,12487998,66,106772777,296327,1213643,19661922,2,5020,80972,0
Si Estuvisemos Ju,Bad Bunny,12/23/2018,QM7281884729,2106,31.4,893876704,86788,30501893,75,824238458,5274687,19235429,127896618,21,816,1305163,1
El Perd,Nicky Jam,11/20/2011,USSD11500005,2108,31.4,869024663,91687,30002977,69,1937330456,6059523,5141327,67188077,111,53221,6946052,0
